                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2896,                 4.6708,                 1.7117,                      0,                      0,                      0,                      0,                 1.2503,                 4.5076,                 1.9855,              3.332e-05,              3.332e-05,              3.332e-05
                      2,                0.81981,                 4.1687,                 1.2069,                   0.25,                0.00833,                0.13083,                0.03925,                0.51702,                 3.9087,                0.87156,             7.1259e-05,             7.1259e-05,             7.1259e-05
                      3,                0.67124,                 3.5341,                 1.0943,                0.40433,                      1,                0.75033,                 0.5206,                0.49285,                 3.7195,                0.84029,             0.00010905,             0.00010905,             0.00010905
                      4,                 0.7835,                 2.7149,                 1.2527,                0.31539,                      1,                0.78103,                0.55466,                0.55888,                  3.389,                0.87011,             0.00014668,             0.00014668,             0.00014668
                      5,                0.74755,                 2.2346,                 1.1779,                0.29536,                      1,                0.83074,                0.64103,                0.54187,                 3.2407,                0.90535,             0.00018417,             0.00018417,             0.00018417
                      6,                0.72904,                 1.9563,                 1.1322,                0.30498,                      1,                0.96236,                0.73516,                0.60066,                 2.8163,                0.90133,             0.00022151,             0.00022151,             0.00022151
                      7,                 0.6653,                 1.6855,                 1.0884,                0.51133,                0.93333,                0.81626,                0.68986,                0.59298,                 2.5127,                0.91356,             0.00025869,             0.00025869,             0.00025869
                      8,                0.69389,                 1.5552,                 1.0977,                0.75749,                0.56229,                 0.9726,                0.83029,                0.55795,                 2.2802,                0.86909,             0.00029572,             0.00029572,             0.00029572
                      9,                0.65357,                 1.5281,                 1.0745,                0.77959,                0.94604,                0.98978,                0.86352,                0.55883,                 1.4953,                0.87143,             0.00033261,             0.00033261,             0.00033261
                     10,                 0.5413,                 1.4242,                0.98801,                0.73485,                0.94463,                0.99452,                0.87428,                0.50504,                 1.4772,                0.84613,             0.00036934,             0.00036934,             0.00036934
